sample,ground_truth,prediction,is_defective_gt,is_defective_pred,severity,defect_count,iou,latency_ms
sample_001_normal,Normal,Pit,False,True,Severe,1,0.0,32.21
sample_002_normal,Normal,Normal,False,False,Pristine,0,1.0,12.89
sample_003_normal,Normal,Normal,False,False,Pristine,0,1.0,13.35
sample_004_normal,Normal,Normal,False,False,Pristine,0,1.0,12.63
sample_005_scratch,Scratch,Scratch,True,True,Critical,1,0.4123,12.15
sample_006_scratch,Scratch,Stain,True,True,Severe,1,0.8285,15.77
sample_007_scratch,Scratch,Crack,True,True,Severe,1,0.5845,13.53
sample_008_scratch,Scratch,Stain,True,True,Critical,1,0.817,15.56
sample_009_crack,Crack,Crack,True,True,Critical,1,0.8292,13.17
sample_010_crack,Crack,Stain,True,True,Critical,1,0.3712,17.05
sample_011_crack,Crack,Stain,True,True,Severe,1,0.7724,17.63
sample_012_crack,Crack,Scratch,True,True,Severe,1,0.7934,18.02
sample_013_pit,Pit,Pit,True,True,Critical,1,0.7695,13.29
sample_014_pit,Pit,Pit,True,True,Critical,1,0.7905,13.91
sample_015_pit,Pit,Pit,True,True,Critical,1,0.7208,11.82
sample_016_pit,Pit,Pit,True,True,Critical,2,0.7953,14.42
sample_017_stain,Stain,Pit,True,True,Critical,2,0.4518,15.06
sample_018_stain,Stain,Stain,True,True,Critical,2,0.3373,13.99
sample_019_stain,Stain,Pit,True,True,Critical,2,0.0559,12.9
sample_020_stain,Stain,Pit,True,True,Critical,2,0.1591,14.28
